Ano;Rol Declarante;Código VU establecimiento;nombre establecimiento;razon social;rubro retc;ciiu6;ciiu6_id;ciiu4;ciiu4_id;huso;utmn;utme;provincia;comuna ;region;cod_subdere;Entrada/Salida;Cantidad Toneladas; declaración_estimación ;Tratamiento;tratamiento id;valorizacion_eliminacion_recolección;Capitulo LER;Numero Capitulo LER;Subcapitulo LER;Numero Subcapitulo LER;ler;Numero LER;retc_code_trazabilidad;nombre trazabilidad;razon social trazabilidad;comuna trazabilidad;region trazabilidad
2.020;Generador Municipal;5480244;I. Municipalidad de Lolol;I MUNICIPALIDAD DE LOLOL;Otras actividades;Actividades de la administración pública en general;O841100;Actividades de la administración pública en general;O8411;19;6153857.5;257900.3;Colchagua;Lolol;Libertador Gral. Bernardo O'Higgins;6.304;2;1851,67; declaración ;Eliminación;1;Eliminación;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;03 | Otros residuos municipales;3;20 03 01 | Mezclas de residuos municipales;1;245.025;RELLENO SANITARIO PARQUE EL GUANACO;RELLENOS SANITARIOS DEL MAULE S A;Teno;Maule
2.020;Generador Municipal;5478404;MUNICIPALIDAD DE NANCAGUA;I MUNICIPALIDAD DE NANCAGUA;Otras actividades;Actividades de asociaciones empresariales y de empleadores;S941100;Actividades de asociaciones empresariales y de empleadores;S9411;19;6163267;297948;Colchagua;Nancagua;Libertador Gral. Bernardo O'Higgins;6.305;2;6454,7; declaración ;Relleno sanitario;11;Eliminación;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;03 | Otros residuos municipales;3;20 03 01 | Mezclas de residuos municipales;1;245.025;RELLENO SANITARIO PARQUE EL GUANACO;RELLENOS SANITARIOS DEL MAULE S A;Teno;Maule
2.020;Generador Municipal;5478404;MUNICIPALIDAD DE NANCAGUA;I MUNICIPALIDAD DE NANCAGUA;Otras actividades;Actividades de asociaciones empresariales y de empleadores;S941100;Actividades de asociaciones empresariales y de empleadores;S9411;19;6163267;297948;Colchagua;Nancagua;Libertador Gral. Bernardo O'Higgins;6.305;2;124,98; declaración ;Valorización;2;Valorización;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;01 | Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);1;20 01 02 | Vidrio;2;1.967;CRISTALERIAS TORO SPA;CRISTALERIAS TORO SPA;Cerrillos;Metropolitana de Santiago
2.020;Generador Municipal;5478404;MUNICIPALIDAD DE NANCAGUA;I MUNICIPALIDAD DE NANCAGUA;Otras actividades;Actividades de asociaciones empresariales y de empleadores;S941100;Actividades de asociaciones empresariales y de empleadores;S9411;19;6163267;297948;Colchagua;Nancagua;Libertador Gral. Bernardo O'Higgins;6.305;2;65,7; declaración ;Recolección;5;Recolección;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;01 | Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);1;20 01 39 | Plásticos;39;;Destinatario Final;QUINPLAST SANTA CRUZ SPA;Santa Cruz;Libertador Gral. Bernardo O'Higgins
2.020;Generador Municipal;5477295;ILUSTRE MUNICIPALIDAD DE CURACAVI;I MUNICIPALIDAD DE CURACAVI;Otras actividades;Actividades de la administración pública en general;O841100;Actividades de la administración pública en general;O8411;19;6301719;301294;Melipilla;Curacaví;Metropolitana de Santiago;13.503;2;13769,27; declaración ;Relleno sanitario;11;Eliminación;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;03 | Otros residuos municipales;3;20 03 01 | Mezclas de residuos municipales;1;3.921.963;ESTACIÓN DE TRANSFERENCIA QUILICURA;K D M  S A;Quilicura;Metropolitana de Santiago
2.020;Generador Municipal;5477295;ILUSTRE MUNICIPALIDAD DE CURACAVI;I MUNICIPALIDAD DE CURACAVI;Otras actividades;Actividades de la administración pública en general;O841100;Actividades de la administración pública en general;O8411;19;6301719;301294;Melipilla;Curacaví;Metropolitana de Santiago;13.503;2;112,46; declaración ;Reciclaje de vidrio;19;Valorización;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;01 | Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);1;20 01 02 | Vidrio;2;2.372;CRISTALERIAS DE CHILE  S A;CRISTALERIAS DE CHILE S A;Padre Hurtado;Metropolitana de Santiago
2.020;Generador Municipal;5473414;ILUSTRE MUNICIPALIDAD DE COLBUN;ILUSTRE MUNICIPALIDAD DE COLBUN;Otras actividades;Actividades de descontaminación y otros servicios de gestión de desechos;E390000;Actividades de descontaminación y otros servicios de gestión de desechos;E3900;19;6046992;282694;Linares;Colbún;Maule;7.402;2;6090,39; declaración ;Vertedero;12;Eliminación;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;03 | Otros residuos municipales;3;20 03 01 | Mezclas de residuos municipales;1;5.464.026;RELLENO SANITARIO SAN ROQUE;SOCIEDAD ARQUITECTURA Y PAISAJISMO RIO MAULE LTDA;San Clemente;Maule
2.020;Generador Municipal;5473414;ILUSTRE MUNICIPALIDAD DE COLBUN;ILUSTRE MUNICIPALIDAD DE COLBUN;Otras actividades;Actividades de descontaminación y otros servicios de gestión de desechos;E390000;Actividades de descontaminación y otros servicios de gestión de desechos;E3900;19;6046992;282694;Linares;Colbún;Maule;7.402;2;6090,39; declaración ;Vertedero;12;Eliminación;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;03 | Otros residuos municipales;3;20 03 01 | Mezclas de residuos municipales;1;5.464.026;RELLENO SANITARIO SAN ROQUE;SOCIEDAD ARQUITECTURA Y PAISAJISMO RIO MAULE LTDA;San Clemente;Maule
2.020;Generador Municipal;5473414;ILUSTRE MUNICIPALIDAD DE COLBUN;ILUSTRE MUNICIPALIDAD DE COLBUN;Otras actividades;Actividades de descontaminación y otros servicios de gestión de desechos;E390000;Actividades de descontaminación y otros servicios de gestión de desechos;E3900;19;6046992;282694;Linares;Colbún;Maule;7.402;2;85,95; declaración ;Reciclaje de vidrio;19;Valorización;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;01 | Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01);1;20 01 02 | Vidrio;2;1.967;CRISTALERIAS TORO SPA;CRISTALERIAS TORO SPA;Cerrillos;Metropolitana de Santiago
2.020;Generador Municipal;5469886;ILUSTRE MUNICIPALIDAD DE YUNGAY;I MUNICIPALIDAD DE YUNGAY;Otras actividades;Actividades de mantenimiento del orden público y de seguridad;O842300;Actividades de mantenimiento del orden público y de seguridad;O8423;18;5887640;764834;Diguillín;Yungay;Ñuble;16.109;2;5696,3; declaración ;Relleno sanitario;11;Eliminación;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;03 | Otros residuos municipales;3;20 03 01 | Mezclas de residuos municipales;1;5.453.436;RELLENO SANITARIO LOS ANGELES;K D M  S A;Los Angeles;Biobío
2.020;Generador Municipal;5469702;EDIFICIO CONSISTORIAL MUNICIPALIDAD CURACAUTIN;I MUNICIPALIDAD DE CURACAUTIN;Otras actividades;Actividades de la administración pública en general;O841100;Actividades de la administración pública en general;O8411;19;5741641;247909;Malleco;Curacautín;La Araucanía;9.203;2;6819; declaración ;Basural;30;Eliminación;20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente;20;03 | Otros residuos municipales;3;20 03 01 | Mezclas de residuos municipales;1;5.469.703;VERTEDERO MUNICIPAL;I MUNICIPALIDAD DE CURACAUTIN;Curacautín;La Araucanía
